Date,Close,High,Low,Open,Volume
2010-09-27,12.74223804473877,12.868071312014788,12.702501688881702,12.848202502488267,51071000
2010-09-28,12.921056747436523,12.960793113154743,12.649522599168817,12.788600510780734,61019600
2010-09-29,12.74223804473877,12.993904579290808,12.662765333024636,12.901184731363015,62484300
2010-09-30,12.71574878692627,12.980659956821379,12.656143615800357,12.808467380590532,75382200
2010-10-01,12.795217514038086,13.477364668976628,12.503814686476531,12.89455901385352,41275000
2010-10-04,12.497196197509766,12.781974899325608,12.430968093033234,12.748861478685356,67082000
2010-10-05,12.682628631591797,12.775348448465158,12.603155946495265,12.636269354752896,61004600
2010-10-06,12.78859806060791,12.828335681909074,12.669387723096516,12.722369954968688,54990000
2010-10-07,12.8482084274292,12.940928318114695,12.722375102125245,12.828340871936748,51794600
2010-10-08,12.927680015563965,12.967416382296443,12.722372717187456,12.848206018902683,46528700
2010-10-11,12.954170227050781,13.080003526059738,12.934302675709992,12.974039041587869,52722400
2010-10-12,13.093249320983887,13.113116872201111,12.87469741522041,13.013775326526128,94743400
2010-10-13,12.74223804473877,13.26543866017339,12.689255815864021,13.232323977629186,173827300
2010-10-14,12.795217514038086,12.887936078773064,12.71574481946402,12.788594578957628,59255900
2010-10-15,12.795217514038086,12.89455901385352,12.71574481946402,12.874691471807855,64052800
2010-10-18,12.709127426147461,12.795223093343653,12.563425317236014,12.755486728729737,54985100
2010-10-19,12.722376823425293,12.84158722529506,12.5170707219811,12.58992180383412,85409800
2010-10-20,13.007147789001465,13.09986762694874,12.77535135212288,12.781973024722976,84884600
2010-10-21,13.086625099182129,13.152853210867914,12.960791813298755,13.080002161693933,74287500
2010-10-22,13.139604568481445,13.199209730125238,13.079999406837652,13.106491151210848,50129800
2010-10-25,13.159479141235352,13.24557482177042,13.113118568274135,13.212461389994575,45769400
2010-10-26,13.272066116333008,13.31842542448605,13.066758804231814,13.106496436817055,56344600
2010-10-27,13.371402740478516,13.378025676800405,13.119736213030453,13.199210185697194,48151900
2010-10-28,13.556845664978027,13.59658329979379,13.258820983038662,13.437636550120168,71144000
2010-10-29,13.278684616088867,13.616446833103687,13.252194130564074,13.543597050513428,60774400
2010-11-01,13.623068809509277,13.689296913444643,13.470745054695147,13.477367991408284,51593700
2010-11-02,13.470747947692871,13.709168667785368,13.437634520211708,13.669431038972427,60959100
2010-11-03,13.669646263122559,13.6963454026578,13.496105675398626,13.576201820919303,53044600
2010-11-04,13.99670124053955,14.030075160563221,13.723041461769814,13.789788028732284,66048200
2010-11-05,14.176921844482422,14.21029577687707,13.996706428807371,14.023405574723089,55960500
2010-11-08,14.170247077941895,14.35046249387052,14.130199632097316,14.243668456228079,53006900
2010-11-09,14.123519897460938,14.250338250137776,14.03675024968304,14.150219034060232,46639500
2010-11-10,14.04343032836914,14.130200008860216,13.896587567881406,14.116850435527626,48072100
2010-11-11,14.15689754486084,14.170247117875101,13.716371820072986,13.809817558087474,69682800
2010-11-12,14.370489120483398,14.557378079299372,14.236995915827231,14.31041730569668,100662400
2010-11-15,14.216963768005371,14.457250895571217,14.190265905545196,14.45057611168496,50076900
2010-11-16,14.063455581665039,14.196948789383928,13.93663716164065,14.103503034746474,62890100
2010-11-17,14.070124626159668,14.163569069569016,13.970005397780358,14.030077189424956,44262100
2010-11-18,14.03007984161377,14.176921319456063,13.963333252381707,14.050102927223676,68847000
2010-11-19,14.110174179077148,14.150222894903253,13.936633563086449,13.996705363740354,49134200
2010-11-22,14.18359661102295,14.203620970431588,13.936634603991115,13.963333749869301,40328600
2010-11-23,14.076802253723145,14.16357192968433,13.88991205607979,14.043429595219301,44856200
2010-11-24,14.277048110961914,14.397191780448232,14.130206555526401,14.170254020993182,42449700
2010-11-26,14.243666648864746,14.303738446551842,14.08347561272755,14.176920065536283,19147500
2010-11-29,14.2369966506958,14.31709283224092,14.096829924348858,14.116853014920926,46887900
2010-11-30,14.123519897460938,14.21696432938866,14.063448113197431,14.136869465760585,52406500
